kota_administrasi,kecamatan,kelurahan,rw,tahun,bulan,lama_genangan,tanggal_kejadian,jumlah_tempat_pengungsian,jumlah_luka_ringan,jumlah_luka_berat,ketinggian_air,jumlah_meninggal
Jakarta Timur,Jatinegara,Bidara Cina,"01 - 03, 05 - 07, 10, 11, 12, 14, 15",2013,1,130," 9, 10, 11, 16 - 25  ",950,0,0,20 - 250 ,10
Jakarta Timur,Jatinegara,Kampung Melayu, 01 - 08,2013,1,130," 9, 10, 11, 16 - 25  ",690,0,0,30 - 400 ,50
Jakarta Timur,Kramat Jati,Cawang,"01 - 06, 8, 12",2013,1,90," 9, 10, 11, 16 - 21           ",270,0,0,30 - 260,0
Jakarta Timur,Kramat Jati,Cililitan,"05, 06, 07, 15, 16",2013,1,100,"16 - 21, 23, 24, 26, 27           ",400,0,0,40 - 300 ,0
Jakarta Timur,Kramat Jati,Balekambang,"01, 02, 04, 05",2013,1,30,17 - 19                             ,170,0,0,30 - 150 ,0
Jakarta Timur,Kramat Jati,Dukuh,"03, 04, 05, 06",2013,1,30,17 - 19                             ,10,0,0,60 - 80 ,0
Jakarta Timur,Pasar Rebo,Gedong,"01, 03, 11",2013,1,30,17 - 19                             ,30,0,0,50 - 100 ,0
Jakarta Timur,Maraman,Kebon Manggis,"03, 04",2013,1,30,17 - 19                             ,60,0,0,25 - 120 ,0
Jakarta Timur,Makasar,Makasar,"04,05,07",2013,1,30,17 - 19                             ,20,0,0,50 - 100 ,0
Jakarta Timur,Makasar,Cipinang Melayu,"04,05,07",2013,1,30,17 - 19                             ,20,0,0,20 - 110 ,0
Jakarta Timur,Makasar,Halim Perdana Kusuma,"05,06,08",2013,1,30,17 - 19                             ,30,0,0,20 - 110 ,0
Jakarta Timur,Makasar,Pinang Ranti,4,2013,1,30,17 - 19                             ,0,0,0,50 - 100 ,0
Jakarta Timur,Makasar,Kebon Pala,"01, 02, 04  - 06, 08 - 12",2013,1,30,17 - 19                             ,70,0,0,10 - 100 ,0
Jakarta Timur,Duren Sawit,Pondok Bambu,"04, 06, 07, 09, 10",2013,1,30,17 - 19                             ,0,0,0,30 - 90 ,0
Jakarta Timur,Duren Sawit,Malaka Jaya,1,2013,1,30,17 - 19                             ,0,0,0,30 - 40 ,0
Jakarta Timur,Duren Sawit,Pondok Kelapa,"04, 07, 09",2013,1,30,17 - 19                             ,0,0,0,30 - 40 ,0
Jakarta Timur,Duren Sawit,Duren Sawit,11,2013,1,30,17 - 19                             ,0,0,0,30 - 40 ,0
Jakarta Timur,Cakung,Jatinegara,8,2013,1,30,17 - 19                             ,0,0,0,20 - 80 ,0
Jakarta Timur,Cakung,Rawa Terate,"04, 05, 06",2013,1,30,17 - 19                             ,70,0,0,60 - 120 ,0
Jakarta Timur,Cakung,Cakung Timur,"02, 05, 06, 10",2013,1,30,17 - 19                             ,0,0,0,40 - 80 ,0
Jakarta Timur,Cakung,Penggilingan,9,2013,1,30,17 - 19                             ,0,0,0,50 - 100 ,0
Jakarta Timur,Ciracas,Rambutan,"02, 03, 06",2013,1,30,17 - 19                             ,60,0,0,50 - 80 ,0
Jakarta Timur,Cipayung,Bambu Apus,6,2013,1,30,17 - 19                             ,0,0,0,50,0
Jakarta Timur,Cipayung,Setu,4,2013,1,30,17 - 19                             ,0,0,0,50,10
Jakarta Selatan,Tebet,Bukit Duri,"09, 10, 11, 12",2013,1,120,"9 - 11, 16 - 21 ,23, 24, 25",360,0,0,10 - 300 ,0
Jakarta Selatan,Tebet,Kebon Baru,10,2013,1,60,"10, 11, 16, 17, 18, 19 ",90,0,0,20 - 300 ,20
Jakarta Selatan,Tebet,Manggarai,"01, 04, 10",2013,1,30,17 - 19,0,0,0,40 - 180 ,0
Jakarta Selatan,Cilandak,Pondok Labu,"01, 03, 07, 08, 10",2013,1,80,"09 - 11, 13, 16 - 19 ",40,0,0,30 - 150 ,0
Jakarta Selatan,Cilandak,Cilandak Barat,4,2013,1,30,17 - 19,0,0,0,150,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"01, 03, 05 - 08, 11 - 13, 16, 17",2013,1,60,"10, 11, 16, 17, 18, 19 ",40,0,0,0 - 150 ,0
Jakarta Selatan,Pasar Minggu,Cilandak Timur,"07, 08, 09",2013,1,40,"16, 17, 18, 19 ",0,0,0,30,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"01, 02, 03",2013,1,70,"10, 11, 15 - 19   ",0,0,0,20 - 100 ,10
Jakarta Selatan,Pancoran,Rawajati,"01, 03, 06, 07",2013,1,120,"10, 11, 16 - 25",170,0,0,10 - 160 ,0
Jakarta Selatan,Pancoran,Pengadegan,"01, 02",2013,1,120,"10, 11, 17 - 21, 25 - 29 ",130,0,0,10 - 200 ,0
Jakarta Selatan,Pancoran,Kalibata,5,2013,1,30,"17, 18, 19  ",0,0,0,50,10
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"01, 05",2013,1,60,"10, 11, 16, 17, 18, 19  ",0,0,0,10 - 135 ,0
Jakarta Selatan,Kebayoran Lama,Kebayoran Lama Utara,11,2013,1,40,"16, 17, 18, 19   ",0,0,0,100,0
Jakarta Selatan,Pesanggrahan,Petukangan Selatan,6,2013,1,40,"16, 17, 18, 19   ",0,0,0,90,0
Jakarta Selatan,Pesanggrahan,Bintaro,"06, 10, 12",2013,1,40,"16, 17, 18, 19   ",0,0,0,30 - 70 ,0
Jakarta Selatan,Pesanggrahan,Ulujami,"03, 05, 07",2013,1,40,"16, 17, 18, 19   ",80,0,0,40 - 100 ,0
Jakarta Selatan,Pesanggrahan,Cipulir,"08, 10",2013,1,40,"16, 17, 18, 19   ",80,0,0,20 - 160 ,0
Jakarta Selatan,Jagakarsa,Tanjung Barat,5,2013,1,40,"16, 17, 18, 19   ",0,0,0,100,0
Jakarta Selatan,Jagakarsa,Lenteng Agung,6,2013,1,40,"16, 17, 18, 19   ",0,0,0,80,0
Jakarta Selatan,Jagakarsa,Srengseng Sawah,"01, 02",2013,1,40,"16, 17, 18, 19   ",0,0,0,100,0
Jakarta Selatan,Setiabudi,Guntur,,2013,1,10,25,40,0,0,,0
Jakarta Selatan,Setiabudi,Karet Semanggi,,2013,1,10,25,0,0,0,,0
Jakarta Pusat,Johar Baru,Galur,"01, 02, 03, 06, 07",2013,1,30,"9, 10, 16",0,0,0,30 - 55 ,0
Jakarta Pusat,Tanah Abang,Petamburan, 01 - 05,2013,1,60,"10, 11, 16, 17, 18, 19 ",0,0,0,30 - 55 ,10
Jakarta Pusat,Tanah Abang,Karet Tengsin,"05, 07, 09",2013,1,30,"17, 18, 19    ",180,0,0,40 - 60 ,0
Jakarta Pusat,Gambir,Cideng,,2013,1,30,"17, 18, 19    ",0,0,0,30 - 50 ,0
Jakarta Pusat,Sawah Besar,Pasar Baru,,2013,1,30,"16,17,18",0,0,0,15 - 30 ,0
Jakarta Pusat,Sawah Besar,Karang Anyar,,2013,1,10,16,0,0,0, 5 - 15,0
Jakarta Pusat,Sawah Besar,Gunung Sahari Utara,,2013,1,10,16,0,0,0,10,0
Jakarta Pusat,Sawah Besar,Kemayoran,,2013,1,10,16,0,0,0,10,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,"01, 02, 04, 08",2013,1,80,"13 - 14, 16 - 21",80,0,0,30 - 100 ,10
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,"02, 05",2013,1,80,"13 - 14, 16 - 21",0,0,0,30 - 150 ,0
Jakarta Barat,Kebon Jeruk,Duri Kepa,"02 - 05, 07 - 10, 13, 14",2013,1,120,"13 - 14, 16 - 25",0,0,0,20 - 70 ,0
Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,"01, 02, 05, 07",2013,1,40,"16, 17 ,18, 19",0,0,0,20 - 60,0
Jakarta Barat,Kebon Jeruk,Meruya Selatan,"03, 06, 07",2013,1,30,"17, 18, 19  ",10,0,0, 10 - 40,0
Jakarta Barat,Grogol Petamburan,Grogol,"03, 04, 05",2013,1,30,"16, 22, 23",0,0,0, 10 - 50,0
Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,"05, 07",2013,1,70,16 - 22,120,0,0,20 - 100 ,0
Jakarta Barat,Grogol Petamburan,Tanjung Duren Utara,,2013,1,50,"14, 16, 17, 18, 19 ",0,0,0, 10 - 60,30
Jakarta Barat,Grogol Petamburan,Tanjung Duren Selatan,,2013,1,40,"16, 17, 18, 19 ",0,0,0,20 - 60,0
Jakarta Barat,Grogol Petamburan,Tomang,,2013,1,40,"14, 17, 18, 19 ",0,0,0,20 - 50 ,0
Jakarta Barat,Grogol Petamburan,Jelambar,"02, 04, 05, 07, 08, 09, 10, 11",2013,1,70,"14, 16 - 21",300,0,0,10 - 120 ,0
Jakarta Barat,Grogol Petamburan,Jelambar Baru,"01, 02, 10, 11",2013,1,70,"14, 16 - 21",0,0,0,15 - 40 ,0
Jakarta Barat,Cengkareng,Kapuk,01 - 016,2013,1,110,"14, 16 - 25",110,0,0,10 - 160 ,10
Jakarta Barat,Cengkareng,Cengkareng Timur,"03 - 05,10 - 14, 16, 17",2013,1,70,"14, 16 - 21",120,0,0, 10 - 50,0
Jakarta Barat,Cengkareng,Cengkareng Barat,"04, 05, 07 - 11, 14",2013,1,110,"14, 16 - 25",180,0,0, 10 - 60,20
Jakarta Barat,Cengkareng,Duri Kosambi,"02, 04 - 06, 08, 13",2013,1,70,"14, 16 - 21",100,0,0, 10 - 80,10
Jakarta Barat,Cengkareng,Kedaung kaliangke,"01 - 08, 12",2013,1,150,"14, 16 - 29",500,0,0, 10 - 90,30
Jakarta Barat,Cengkareng,Rawa Buaya,01 - 012,2013,1,70,"14, 16 - 21",310,0,0,50- 200 ,10
Jakarta Barat,Tambora,Tambora,"01 - 07, 12",2013,1,100,"14, 16 - 25",50,0,0,30 - 100 ,0
Jakarta Barat,Tambora,Angke,"01- 09, 11",2013,1,30,"17 - 18, 22",20,0,0,30 - 50 ,0
Jakarta Barat,Tambora,Pekojan,01 - 012,2013,1,90,17 - 25,870,0,0,20 - 120 ,0
Jakarta Barat,Tambora,Duri Selatan,"01, 06, 08",2013,1,60,17 - 22,0,0,0,40,0
Jakarta Barat,Tambora,Jembatan Besi,"02, 05, 08",2013,1,60,17 - 22,20,0,0,45,0
Jakarta Barat,Tambora,Jembatan Lima,"01, 02, 03, 07, 08",2013,1,90,17 - 25,350,0,0,30 - 50 ,20
Jakarta Barat,Tambora,Kalianyar,7,2013,1,50,"17 - 20, 22 ",0,0,0,30 - 45 ,0
Jakarta Barat,Tambora,Roa Malaka,"01, 02, 03",2013,1,40,21-24,100,0,0,40 - 150 ,10
Jakarta Barat,Tambora,Tanah Sereal,"01 - 07, 11",2013,1,50,21-25,70,0,0, 10 - 60,0
Jakarta Barat,Tambora,Krendang,"02, 03",2013,1,50,21-25,90,0,0, 10 - 60,0
Jakarta Barat,Kalideres,Kalideres,"03, 09, 12",2013,1,10,14,0,0,0, 10 - 50,0
Jakarta Barat,Kalideres,Tegal Alur,"03, 04, 05, 07, 12",2013,1,80,"14 ,19 - 25 ",260,0,0,30 - 60 ,0
Jakarta Barat,Kalideres,Kamal,"01, 02, 06, 07, 09",2013,1,40,"14, 19 - 21 ",0,0,0, 10 - 50,0
Jakarta Barat,Kalideres,Semanan,"01, 03, 04, 07",2013,1,30,"14, 22, 23 ",40,0,0, 05 - 25,0
Jakarta Barat,Kalideres,Pegadungan,,2013,1,30,"19, 20, 21 ",0,0,0, 10 - 20,0
Jakarta Barat,Kembangan,Kembangan Utara,"01 - 08, 10",2013,1,60,16 - 21 ,120,0,0,20 - 100 ,0
Jakarta Barat,Kembangan,Joglo,6,2013,1,30,16 - 18 ,0,0,0,40 - 60 ,0
Jakarta Barat,Kembangan,Meruya Utara,,2013,1,30,16 - 18 ,0,0,0,30 - 40,0
Jakarta Barat,Kembangan,Meruya Selatan,"03, 06, 07",2013,1,40,17 - 20,20,0,0, 10 - 40,0
Jakarta Barat,Palmerah,Palmerah,"06, 08, 09",2013,1,30,19 - 21 ,0,0,0,30,0
Jakarta Barat,Palmerah,Kota Bambu Selatan,"01 - 04, 07",2013,1,50,17 - 21,260,0,0,30 - 150 ,0
Jakarta Barat,Palmerah,Kota Bambu Utara,,2013,1,30,19 - 21 ,120,0,0,60 - 150 ,30
Jakarta Barat,Palmerah,kemanggisan,"02, 05, 08, 09",2013,1,30,19 - 21 ,0,0,0, 10 - 45,0
Jakarta Barat,Palmerah,jatipulo, 01 - 03,2013,1,30,19 - 21 ,270,0,0,30 - 80 ,10
Jakarta Barat,Taman Sari,Glodok,"01 - 05, 09",2013,1,50,"19 - 21, 24, 25",120,0,0,10 - 120 ,10
Jakarta Barat,Taman Sari,Tangki,,2013,1,30,19 - 21 ,150,0,0,35 - 110 ,0
Jakarta Barat,Taman Sari,Pinangsia,"01 - 05, 07, 08",2013,1,50,"19 - 21, 24, 25 ",110,0,0,20 - 105 ,10
Jakarta Barat,Taman Sari,Maphar,"01 - 03, 05 - 09",2013,1,30,19 - 21 ,150,0,0,30 - 60 ,0
Jakarta Utara,Kelapa Gading,Kelapa Gading Timur,"06 - 10, 17, 19",2013,1,60,16 - 21 ,0,0,0,30 - 40 ,0
Jakarta Utara,Kelapa Gading,Pegangsaan Dua,"02, 03, 07, 10, 11, 15,16",2013,1,60,16 - 21 ,0,0,0, 5 - 25,0
Jakarta Utara,Penjaringan,Penjaringan,01 - 017,2013,1,150,"14, 15, 17 - 29 ",230,0,0,10 - 100 ,0
Jakarta Utara,Penjaringan,Kapuk Muara,"01 - 05, 08, 09",2013,1,110,"13, 14, 16 - 20, 22 - 25 ",120,0,0,25 - 170 ,20
Jakarta Utara,Penjaringan,Kamal Muara,"01, 02, 03, 07",2013,1,80,"14, 16 - 21, 23 ",0,0,0, 25 - 170,0
Jakarta Utara,Penjaringan,Pejagalan,"06 - 10, 12 - 15, 17",2013,1,100,"14, 16 - 25",0,0,0,10 - 100 ,30
Jakarta Utara,Penjaringan,Muara Baru, 01 - 05,2013,1,30,19 - 21 ,30,0,0,40 - 150 ,0
Jakarta Utara,Penjaringan,Pluit,"4 - 7, 9, 11,16, 19",2013,1,70,"14, 16, 17, 21 - 24",140,0,0,5 - 250 ,0
Jakarta Utara,Pademangan,Ancol,"01, 02, 04 - 12, 15",2013,1,50,"14, 17, 18 - 21",30,0,0,40 - 60 ,0
Jakarta Utara,Pademangan,Pademangan Barat,"01, 02, 05, 07",2013,1,10,16,0,0,0, 5 - 20,0
Jakarta Utara,Pademangan,Pademangan Timur,"01 - 03, 05 - 10",2013,1,40,17 - 20,0,0,0,25 - 50,0
Jakarta Utara,Tanjung Priok,Tanjung Priok,"03, 04, 06, 14, 15",2013,1,40,"16, 19 - 21",240,0,0,20 - 105 ,0
Jakarta Utara,Tanjung Priok,Sunter Agung,"03, 06, 07",2013,1,30,"16, 19, 21",0,0,0,10,0
Jakarta Utara,Tanjung Priok,Kebon Bawang,01 - 016,2013,1,60,16 - 21,250,0,0, 5 - 60,0
Jakarta Utara,Tanjung Priok,Sungai Bambu,"03, 07, 09",2013,1,30,19 - 21 ,180,0,0,25 - 80 ,0
Jakarta Utara,Tanjung Priok,Papanggo,,2013,1,30,19 - 21 ,0,0,0,20 - 60 ,0
Jakarta Utara,Tanjung Priok,Sunter Jaya,,2013,1,30,19 - 21 ,0,0,0,20 - 60 ,0
Jakarta Utara,Tanjung Priok,Warakas,,2013,1,30,19 - 21 ,0,0,0,20 - 60 ,0
Jakarta Utara,Cilincing,Cilincing,"08, 09",2013,1,50,17 - 21,0,0,0, 5 - 40,0
Jakarta Utara,Cilincing,Semper Barat,01 - 017,2013,1,50,17 - 21,90,0,0,15 - 60 ,0
Jakarta Utara,Cilincing,Semper Timur, 01 - 09,2013,1,50,17 - 21,550,0,0,25 - 150 ,0
Jakarta Utara,Cilincing,Marunda,"01, 04 - 07",2013,1,50,17 - 21,110,0,0, 5 - 70,0
Jakarta Utara,Cilincing,Rorotan,"04 - 08, 12",2013,1,50,17 - 21,50,0,0,20 - 180 ,0
Jakarta Utara,Cilincing,Sukapura,"02, 07, 08, 10",2013,1,50,17 - 21,50,0,0,30 - 80 ,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",2013,2,80,"01, 02, 08, 10, 13, 14, 15, 16",20,0,0,20 - 350,0
Jakarta Timur,Kramat Jati,Cawang,"001, 002, 003, 004, 005, 006, 008",2013,2,60,"01, 02, 08, 13, 14, 15",0,0,0,30 - 150,0
Jakarta Timur,Kramat Jati,Cililitan,"005, 006, 007, 016",2013,2,60,"01, 02, 08, 14, 15",10,0,0,50 - 200,0
Jakarta Timur,Kramat Jati,Balekembang,4,2013,2,10,8,0,0,0,0 - 30,0
Jakarta Timur,Pasar Rebo,Pekayon,7,2013,2,10,10,0,0,0,0 - 20,0
Jakarta Selatan,Tebet,Bukit Duri,"010, 011, 012",2013,2,50,"01, 02, 03, 13, 14",10,0,0,0 - 10,0
Jakarta Selatan,Tebet,Kebon Baru,10,2013,2,40,"01, 02, 13, 14",0,0,0,30 - 100,0
Jakarta Selatan,Tebet,Manggarai,"001, 004, 010",2013,2,0,1,0,0,0,10 - 40,0
Jakarta Selatan,Cilandak,Pondok Labu,"001, 007, 009, 010",2013,2,30,"10, 13, 14",0,0,0,40 - 50,0
Jakarta Selatan,Cilandak,Lebak Bulus,8,2013,2,30,"10, 13, 14",0,0,0,100,0
Jakarta Selatan,Cilandak,Gandaria Selatan,7,2013,2,0,1,0,0,0,50 - 70,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"007, 008",2013,2,20,"13, 14",0,0,0,90 - 150,0
Jakarta Selatan,Pasar Minggu,Cilandak Timur,"001, 003",2013,2,10,10,0,0,0,20 - 100,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"001, 002, 003",2013,2,30,"10, 13, 14",0,0,0,50 - 140,0
Jakarta Selatan,Kebayoran Baru,Kramat Pela,10,2013,2,10,10,0,0,0,10 - 100,0
Jakarta Selatan,Pancoran,Rawajati,"001, 003, 007",2013,2,30,"01, 13, 14",0,0,0,10 - 30,0
Jakarta Selatan,Pancoran,Pengadegan,1,2013,2,10,1,0,0,0,20 - 30,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"001, 005, 008",2013,2,50,"05, 10, 13, 14, 15",70,0,0,90 - 125,0
Jakarta Selatan,Pesangrahan,Bintaro,12,2013,2,10,10,10,0,0,50 - 175,0
Jakarta Selatan,Pesangrahan,Ulujami,"003, 007, 008, 017",2013,2,70,"05, 06, 10, 13, 14, 15, 16",30,0,0,30 - 100,0
Jakarta Selatan,Mampang Prapatan,Kuningan Barat,"001, 002, 003, 005",2013,2,30,"10, 13, 14",0,0,0,20 - 40,0
Jakarta Selatan,Mampang Prapatan,Bangka,2,2013,2,20,"13, 14",0,0,0,10 - 50,0
Jakarta Selatan,Mampang Prapatan,Pela Mampang,"005, 011",2013,2,20,"13, 14",0,0,0,30 - 40,0
Jakarta Barat,Cengkareng,Cengkareng Barat,"009, 10",2013,2,20,"06, 10",0,0,0,05 - 20,0
Jakarta Barat,Cengkareng,Cengkareng Timur,13,2013,2,10,10,0,0,0,10 - 20,0
Jakarta Barat,Cengkareng,Kedaung Kaliangke,3,2013,2,10,10,0,0,0,10 - 20,0
Jakarta Barat,Kebon Jeruk,Kebon Jeruk,"001, 002, 009",2013,2,20,"15, 16",40,0,0,60 - 70,0
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,"002, 005, 008",2013,2,30,"10, 14, 15",0,0,0,20 - 70,0
Jakarta Barat,Kebon Jeruk,Kedoya Utara,10,2013,2,10,15,0,0,0,10 - 30,0
Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,"005, 007",2013,2,20,"14, 15",0,0,0,10 - 50,0
Jakarta Barat,Kembangan,Kembangan Selatan,"001, 003, 008, 009",2013,2,10,15,0,0,0,15 - 100,0
Jakarta Utara,Cilincing,Semper Barat,0,2013,2,10,10,0,0,0,10,0
Jakarta Utara,Cilincing,Semper Timur,"001, 009",2013,2,10,10,0,0,0,10,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",2013,3,20,"05, 06                         ",40,0,0,30 - 250,0
Jakarta Timur,Kramat Jati,Cawang,"001, 002, 003, 005, 008, 012",2013,3,20,"05, 06                         ",200,0,0,50 - 250 ,0
Jakarta Timur,Kramat Jati,Cililitan,"005, 006, 007, 016",2013,3,20,"05, 06                         ",0,0,0,50 - 150 ,0
Jakarta Selatan,Tebet,Bukit Duri,"010, 011, 012",2013,3,20,"05, 06                         ",20,0,0,10 - 150 ,0
Jakarta Selatan,Tebet,Kebon Baru,10,2013,3,20,"05, 06                         ",0,0,0,30 - 100 ,0
Jakarta Selatan,Pasar Minggu,Pejaten Timur,"007, 008",2013,3,20,"05, 06                         ",20,0,0,100 - 200 ,0
Jakarta Selatan,Pancoran,Rawajati,"001, 003, 007",2013,3,20,"05, 06                         ",20,0,0,100 - 150 ,0
Jakarta Selatan,Pancoran,Pengadegan,"001, 002",2013,3,20,"05, 06                         ",0,0,0,100 - 150 ,0
Jakarta Timur,Kramat Jati,Kramat Jati,11,2013,4,20,"18, 19                             ",0,0,0,30 - 50 ,0
Jakarta Timur,Kramat Jati,Dukuh,"003, 004",2013,4,20,"18, 19                             ",0,0,0,20 - 100 ,0
Jakarta Timur,Kramat Jati,Cawang,6,2013,4,10,19,0,0,0,20 - 50 ,0
Jakarta Timur,Pasar Rebo,Kalisari,"003, 011",2013,4,20,"18, 19                             ",0,0,0,30 - 50 ,0
Jakarta Timur,Pasar Rebo,Cijantung,"003, 006, 007",2013,4,20,"18, 19                             ",0,0,0,30 - 50 ,0
Jakarta Timur,Makasar,Makasar,7,2013,4,10,19,0,0,0,30 - 50 ,0
Jakarta Selatan,Pesangrahan,Ulujami,"002, 003, 005, 007",2013,4,30,"05, 18, 19                             ",40,0,0,10 - 80 ,0
Jakarta Selatan,Pesangrahan,Pesanggrahan,1,2013,4,10,19,0,0,0,10 - 15 ,0
Jakarta Selatan,Pesangrahan,Petukangan Selatan,3,2013,4,10,19,0,0,0,10 - 20 ,0
Jakarta Selatan,Mampang Prapatan,Pela Mampang,3,2013,4,10,18,0,0,0,40 - 50 ,0
Jakarta Selatan,Pasar Minggu,Jati Padang,"002, 003, 004, 006, 010",2013,4,10,19,30,0,0,0 - 95 ,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"001, 002, 003",2013,4,10,19,0,0,0,25 - 35 ,0
Jakarta Selatan,Cilandak,Pondok Labu,3,2013,4,10,22,0,0,0,20 - 150 ,0
Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,"005, 007",2013,4,10,5,0,0,0,10 - 20 ,0
Jakarta Barat,Kebon Jeruk,Kedoya Selatan,5,2013,4,40,"05, 19, 20, 22                           ",0,0,0,20 - 60 ,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",2013,5,60,"02, 08, 11, 12, 13, 20                        ",0,0,0,30 - 180 ,0
Jakarta Timur,Kramat Jati,Cawang,"001, 002, 003, 004, 005, 008, 012",2013,5,30,"08, 11, 20                       ",0,0,0,10 - 80 ,0
Jakarta Timur,Kramat Jati,Cililitan,"005, 006, 007",2013,5,30,"08, 11, 20                        ",0,0,0,10 - 40 ,0
Jakarta Timur,Makasar,Makasar,"005, 007",2013,5,10,2,0,0,0,50 - 60 ,0
Jakarta Selatan,Mampang Prapatan,Bangka,"002, 003, 004",2013,5,20,"02, 03                                      ",80,0,0,100 - 160 ,0
Jakarta Selatan,Mampang Prapatan,Pela Mampang,"004, 005, 006, 007, 008, 009, 011",2013,5,20,"02, 03                                         ",70,0,0,50 - 80 ,0
Jakarta Selatan,Mampang Prapatan,Mampang Prapatan,"001, 004, 006",2013,5,20,"02, 03                                             ",50,0,0,50,0
Jakarta Selatan,Mampang Prapatan,Tegal Parang,"002, 003, 004, 005, 006, 007",2013,5,20,"02, 03                                             ",90,0,0,50,0
Jakarta Selatan,Mampang Prapatan,Kuningan Barat,"001, 003, 004",2013,5,20,"02, 03                                             ",100,0,0,40 - 80 ,0
Jakarta Selatan,Kebayoran Baru,Petogogan,"001, 002, 003",2013,5,20,"02, 03                                             ",20,0,0,20 - 80 ,0
Jakarta Selatan,Tebet,Bukit Duri,"010, 011, 012",2013,5,30,"08, 11, 20                         ",0,0,0,20 - 120 ,0
Jakarta Selatan,Pancoran,Pengadegan,1,2013,5,30,"08, 11, 20                         ",0,0,0,5 - 20,0
Jakarta Selatan,Pesangrahan,Ulujami,"003, 005, 007",2013,5,20,"08, 20                                                                 ",10,0,0,0 - 100 ,0
Jakarta Barat,Kembangan,Meruya Selatan,0,2013,5,10,2,0,0,0,45,0
Jakarta Barat,Grogol Petamburan,Wijaya Kusuma,0,2013,5,10,2,0,0,0,45,0
Jakarta Selatan,Pancoran,Rajawati,"001, 003, 007",2013,6,10,21,0,0,0,0 - 150 ,0
Jakarta Utara,Pademangan,Pademangan Barat,"001, 002, 003, 004, 007, 008, 009, 010, 012, 013, 014, 015  ",2013,6,70,"12, 14, 15, 16 17, 19, 20                                            ",0,0,0,30 - 60 ,0
Jakarta Utara,Pademangan,Pademangan Timur,"001, 002",2013,6,30,"18, 19, 20                                           ",0,0,0,5 - 40 ,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",2013,7,40,"12, 14, 22, 23                              ",30,0,0,30 - 180 ,0
Jakarta Selatan,Pesangrahan,Ulujami,"003, 005, 007",2013,7,40,"12, 14, 21, 23                             ",50,0,0,20 - 100 ,0
Jakarta Selatan,Tebet,Kebon Baru,10,2013,7,20,"22, 23                             ",0,0,0,50,0
Jakarta Selatan,Tebet,Bukit Duri,10,2013,7,20,"23, 24                            ",0,0,0,10 - 40 ,0
Jakarta Barat,Kembangan,Kembangan Utara,4,2013,7,10,12,0,0,0,30 - 40,0
Jakarta Utara,Pademangan Barat,Pademangan Barat,,2013,7,20,"14, 15",0,0,0, 10 - 50,0
Jakarta Utara,Pademangan Timur,Pademangan Timur,,2013,7,20,"14, 15",0,0,0, 10 - 50,0
Jakarta Utara,Tanjung Priok,Sunter Agung,,2013,7,10,21,0,0,0,20 - 50,0
Jakarta Utara,Tanjung Priok,Kapuk Muara,"001, 004, 005",2013,7,10,23,0,0,0,15 - 60,0
Jakarta Timur,Jatinegara,Kampung Melayu,"001, 002, 003, 004, 005, 006, 007, 008",2013,8,30," 04, 08, 09                              ",20,0,0,30 - 300 ,0
Jakarta Timur,Kramat Jati,Cawang,"006, 007",2013,8,10,4,0,0,0,30 - 100 ,0
Jakarta Timur,Kramat Jati,Cililitan,"001, 002, 003, 005, 008, 012",2013,8,10,4,0,0,0,50 - 250 ,0
Jakarta Selatan,Tebet,Bukit Duri,10,2013,8,10,4,0,0,0,20 - 70 ,0
Jakarta Selatan,Kebayoran Lama,Pondok Pinang,"004, 005, 008",2013,8,20,"08, 09                             ",60,0,0,20 - 250 ,0
Jakarta Selatan,Cilandak,Pondok Labu,3,2013,8,20,"08, 09                              ",0,0,0,30 - 100 ,0
Jakarta Selatan,Cilandak,Lebak Bulus,3,2013,8,20,"08, 09                             ",0,0,0,30 - 100 ,0
Jakarta Selatan,Pesangrahan,Ulujami,"003, 007",2013,8,20,"08, 09                              ",20,0,0,50 - 100 ,0
Jakarta Selatan,Pesangrahan,Bintaro,"003, 004, 005, 007, 010, 012, 014",2013,8,20,"08, 09                            ",20,0,0,50 - 100 ,0
Jakarta Barat,Kebon Jeruk,Kebon Jeruk,,2013,8,20," 08, 09                              ",0,0,0,30 - 50,0
